Number.of.Bags,altitude_mean_meters,Moisture,Category.One.Defects,Category.Two.Defects,Quakers,Country.of.Origin,Variety,Processing.Method,Color,species,especialidad
1,1000.0,0.12,0,2,0.0,Philippines,,Washed / Wet,Green,arabica,0
320,1260.0,0.1,0,0,0.0,Brazil,Yellow Bourbon,Natural / Dry,Green,arabica,1
100,3000.0,0.0,0,0,0.0,United States,Arusha,Natural / Dry,Green,robusta,0
53,950.0,0.12,0,2,0.0,Brazil,Mundo Novo,Semi-washed / Semi-pulped,Green,arabica,1
280,1000.0,0.12,0,1,0.0,Mexico,Typica,Washed / Wet,Green,arabica,0
275,1650.0,0.0,0,0,1.0,Colombia,Caturra,Washed / Wet,,arabica,1
250,1000.0,0.0,0,0,0.0,Colombia,Caturra,Natural / Dry,Green,arabica,1
54,1000.0,0.12,0,0,0.0,Mexico,Caturra,Washed / Wet,Blue-Green,arabica,1
120,1775.0,0.11,1,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
275,1600.0,0.1,0,7,1.0,Honduras,Caturra,Natural / Dry,Green,arabica,1
250,2560.0,0.0,0,0,0.0,Colombia,Caturra,Natural / Dry,,arabica,1
2,1280.16,0.11,0,4,0.0,Haiti,Typica,Washed / Wet,Green,arabica,1
275,1775.0,0.11,0,3,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
280,1550.0,0.0,1,1,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
1,,0.11,0,0,0.0,Taiwan,,,Blue-Green,arabica,1
275,,0.0,0,14,0.0,Costa Rica,,Washed / Wet,Green,arabica,1
30,1200.0,0.11,0,1,0.0,Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,Blue-Green,arabica,1
275,1219.2,0.1,1,2,0.0,Guatemala,Other,Washed / Wet,Green,arabica,0
10,1170.0,0.13,0,14,0.0,Mexico,Bourbon,Natural / Dry,Green,arabica,1
256,1100.0,0.11,0,12,0.0,Mexico,Other,Washed / Wet,Green,arabica,1
275,2560.0,0.11,0,2,0.0,Colombia,Caturra,Natural / Dry,Green,arabica,1
320,,0.11,0,0,0.0,Indonesia,Sumatra,Semi-washed / Semi-pulped,Bluish-Green,arabica,1
10,1943.0,0.0,0,0,0.0,United States,Other,Washed / Wet,,arabica,1
8,650.0,0.0,0,0,0.0,Taiwan,Yellow Bourbon,Natural / Dry,Green,arabica,1
275,,0.0,0,6,7.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
10,1000.0,0.11,0,0,0.0,Taiwan,Typica,Other,Green,arabica,1
1,1600.0,0.12,0,4,0.0,"Tanzania, United Republic Of",Other,Washed / Wet,Bluish-Green,arabica,1
82,1100.0,0.0,0,0,0.0,Mexico,Bourbon,Washed / Wet,,arabica,0
1,1040.0,0.12,0,0,0.0,Vietnam,Caturra,Washed / Wet,Bluish-Green,arabica,1
275,1350.0,0.11,1,16,0.0,Honduras,Pacas,Washed / Wet,Green,arabica,0
300,995.0,0.12,0,12,0.0,Malawi,Caturra,Washed / Wet,Green,arabica,1
50,900.0,0.11,0,0,0.0,Taiwan,Typica,Washed / Wet,Blue-Green,arabica,1
250,1450.0,0.12,0,0,0.0,Colombia,Caturra,Natural / Dry,Green,arabica,1
300,1635.0,0.05,0,2,0.0,Ethiopia,,,,arabica,1
25,,0.0,0,0,0.0,United States (Hawaii),,,,arabica,1
50,1219.2,0.1,0,0,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
